time,ax,ay,az,atotal
0.000,0.30,0.02,0.76,0.81
0.010,0.39,-0.10,0.58,0.70
0.020,0.21,-0.29,0.31,0.47
0.030,0.07,-0.26,0.11,0.29
0.040,-0.03,-0.06,-0.11,0.13
0.050,-0.09,0.08,-0.28,0.30
0.060,-0.10,0.06,-0.30,0.32
0.071,-0.07,0.03,-0.09,0.12
0.081,-0.01,-0.02,0.15,0.15
0.091,0.02,-0.06,0.24,0.25
0.101,0.05,-0.03,0.18,0.19
0.111,0.05,-0.00,0.04,0.07
0.121,0.02,0.05,-0.10,0.12
0.131,0.02,0.06,-0.13,0.14
0.141,0.00,0.05,-0.07,0.08
0.151,0.01,0.02,0.07,0.08
0.161,0.00,0.00,0.13,0.13
0.171,0.02,-0.01,0.09,0.09
0.181,0.04,0.01,0.02,0.04
0.191,0.08,0.04,-0.02,0.09
0.201,0.08,0.05,-0.05,0.11
0.211,0.05,0.03,-0.07,0.09
0.221,0.04,0.00,-0.05,0.07
0.232,0.06,-0.01,-0.01,0.06
0.241,0.07,-0.01,0.01,0.07
0.252,0.07,-0.03,0.04,0.08
0.262,0.05,-0.05,0.05,0.09
0.272,0.05,-0.06,0.05,0.09
0.282,0.07,-0.05,0.05,0.10
0.292,0.05,-0.07,0.02,0.09
0.302,0.02,-0.08,0.01,0.09
0.312,0.01,-0.06,0.00,0.06
0.322,0.02,-0.04,-0.02,0.05
0.332,0.02,-0.02,-0.03,0.04
0.342,0.02,0.01,-0.00,0.02
0.352,0.02,0.04,0.03,0.05
0.362,0.02,0.04,0.05,0.06
0.372,0.02,0.03,0.04,0.05
0.382,0.03,0.02,0.05,0.07
0.392,0.04,0.02,0.06,0.07
0.402,0.03,-0.01,0.02,0.04
0.412,0.03,-0.02,-0.02,0.04
0.423,0.04,-0.01,-0.04,0.06
0.433,0.03,0.01,-0.02,0.04
0.443,0.03,0.01,-0.00,0.03
0.453,0.02,0.01,0.01,0.03
0.463,0.03,-0.01,0.01,0.03
0.473,0.03,-0.02,0.03,0.05
0.483,0.01,-0.03,0.03,0.04
0.493,0.01,-0.04,0.01,0.04
0.503,0.01,-0.04,-0.01,0.04
0.513,-0.00,-0.05,-0.02,0.06
0.523,0.00,-0.04,0.02,0.04
0.533,-0.02,-0.02,0.06,0.06
0.543,-0.01,0.00,0.10,0.10
0.553,0.04,0.01,0.09,0.10
0.563,0.07,0.03,0.07,0.11
0.573,0.10,0.07,0.01,0.13
0.583,0.10,0.10,-0.08,0.17
0.594,0.10,0.10,-0.08,0.16
0.604,0.07,0.08,-0.09,0.14
0.614,0.03,0.01,-0.04,0.05
0.624,0.01,-0.06,0.02,0.07
0.634,-0.00,-0.13,0.07,0.14
0.644,-0.03,-0.17,0.05,0.18
0.654,-0.01,-0.16,0.04,0.16
0.664,0.01,-0.09,0.05,0.10
0.674,0.01,-0.03,0.02,0.04
0.684,-0.00,-0.00,0.02,0.02
0.694,-0.00,0.00,0.03,0.03
0.704,0.02,-0.00,0.04,0.04
0.714,0.04,-0.00,0.05,0.06
0.724,0.04,-0.02,0.02,0.05
0.735,0.04,-0.01,0.02,0.04
0.744,0.03,0.01,0.00,0.03
0.754,0.02,0.01,0.00,0.02
0.765,0.00,0.03,-0.02,0.04
0.775,0.03,0.03,-0.03,0.05
0.785,0.03,0.05,-0.02,0.06
0.795,0.05,0.04,-0.00,0.07
0.805,0.05,0.03,0.01,0.05
0.815,0.07,0.02,0.03,0.08
0.825,0.06,0.01,0.01,0.06
0.835,0.06,0.01,0.00,0.06
0.845,0.03,0.02,0.00,0.03
0.855,0.03,0.00,0.02,0.03
0.865,0.01,-0.01,0.00,0.01
0.875,0.01,-0.02,0.01,0.03
0.885,0.01,-0.06,0.02,0.07
0.895,0.02,-0.08,0.02,0.08
0.905,0.03,-0.08,0.03,0.09
0.915,0.01,-0.06,0.04,0.07
0.925,0.02,-0.05,0.06,0.08
0.936,0.01,-0.02,0.05,0.05
0.945,-0.00,-0.01,0.03,0.03
0.956,0.00,-0.02,-0.00,0.02
0.966,0.02,-0.02,-0.02,0.03
0.976,0.04,-0.01,-0.00,0.04
0.986,0.02,0.01,-0.00,0.02
0.996,0.02,0.02,0.03,0.04
1.006,0.03,0.01,0.03,0.04
1.016,0.03,0.00,0.06,0.06
1.026,0.03,-0.01,0.05,0.06
1.036,0.02,-0.02,0.03,0.04
1.046,0.00,-0.03,0.02,0.04
1.056,0.01,-0.03,0.01,0.03
1.066,0.01,0.00,-0.01,0.02
1.076,0.01,0.01,-0.00,0.01
1.086,0.03,0.03,0.01,0.04
1.096,0.03,0.03,0.01,0.05
1.106,0.05,0.03,0.05,0.08
1.116,0.02,-0.00,0.04,0.04
1.127,-0.01,-0.02,0.00,0.03
1.137,-0.03,-0.07,0.01,0.07
1.147,-0.03,-0.06,0.01,0.07
1.157,-0.01,-0.05,0.04,0.06
1.167,-0.01,-0.05,0.04,0.06
1.177,0.02,-0.04,0.05,0.07
1.187,0.08,-0.02,0.07,0.11
1.197,0.11,0.03,0.04,0.12
1.207,0.10,0.08,-0.05,0.13
1.217,0.06,0.07,-0.06,0.12
1.227,0.02,0.07,-0.04,0.08
1.237,-0.01,0.02,-0.01,0.02
1.247,0.00,-0.04,0.04,0.06
1.257,0.01,-0.10,0.04,0.11
1.268,-0.01,-0.13,0.02,0.13
1.277,-0.00,-0.12,0.02,0.12
1.288,0.00,-0.08,0.01,0.08
1.298,-0.02,-0.04,0.01,0.04
1.308,-0.02,-0.01,0.03,0.04
1.318,-0.03,0.01,0.06,0.07
1.328,0.01,-0.03,0.06,0.07
1.338,0.02,-0.03,0.02,0.05
1.348,0.03,-0.05,0.02,0.06
1.358,0.04,-0.05,0.02,0.07
1.368,0.04,-0.03,0.02,0.06
1.378,0.02,-0.02,-0.01,0.03
1.388,-0.01,-0.00,-0.00,0.01
1.398,-0.02,0.03,-0.01,0.03
1.408,-0.03,0.03,-0.00,0.05
1.418,-0.04,0.05,0.03,0.07
1.428,-0.03,0.06,0.08,0.10
1.438,-0.01,0.05,0.06,0.08
1.448,-0.02,0.06,0.03,0.07
1.458,-0.07,0.03,-0.01,0.08
1.468,-0.07,0.01,-0.02,0.07
1.479,0.02,-0.02,-0.01,0.03
1.489,0.09,0.01,-0.02,0.09
1.499,0.06,0.03,-0.03,0.07
1.509,0.04,0.02,-0.01,0.05
1.519,0.13,-0.01,-0.02,0.13
1.529,0.15,-0.03,0.03,0.16
1.539,0.16,-0.03,0.07,0.17
1.549,0.15,-0.06,0.06,0.17
1.559,0.14,-0.07,0.01,0.15
1.569,0.09,-0.07,0.00,0.11
1.579,0.05,-0.06,0.02,0.08
1.589,0.01,-0.05,0.02,0.05
1.599,-0.04,-0.06,-0.02,0.08
1.609,-0.10,-0.05,-0.03,0.12
1.619,-0.12,-0.04,0.03,0.13
1.629,-0.12,-0.04,0.06,0.14
1.640,-0.10,-0.02,0.09,0.14
1.650,-0.08,-0.01,0.05,0.09
1.660,-0.06,-0.01,0.05,0.07
1.670,-0.02,-0.01,0.05,0.06
1.680,-0.00,0.02,0.03,0.04
1.690,0.03,0.03,0.03,0.05
1.700,0.06,0.03,-0.00,0.07
1.710,0.09,0.05,-0.03,0.11
1.720,0.08,0.04,-0.03,0.10
1.730,0.07,0.02,-0.01,0.07
1.740,0.05,0.05,0.02,0.08
1.750,0.02,0.04,0.02,0.06
1.760,0.01,0.01,0.01,0.01
1.770,-0.00,-0.03,0.02,0.03
1.780,-0.02,-0.05,0.02,0.06
1.790,-0.01,-0.06,0.01,0.06
1.801,0.01,-0.07,0.03,0.08
1.811,0.04,-0.03,0.04,0.06
1.821,0.06,-0.01,0.08,0.10
1.831,0.09,0.01,0.02,0.09
1.841,0.09,0.04,-0.03,0.11
1.851,0.08,0.04,-0.03,0.10
1.861,0.06,0.01,-0.02,0.06
1.871,0.02,-0.03,-0.01,0.04
1.881,0.01,-0.07,0.00,0.08
1.891,0.00,-0.11,0.04,0.12
1.901,-0.04,-0.13,0.03,0.14
1.911,-0.06,-0.11,0.05,0.13
1.921,-0.07,-0.06,0.06,0.11
1.931,-0.06,-0.02,0.05,0.08
1.941,-0.07,0.02,0.06,0.09
1.951,-0.06,0.04,0.05,0.08
1.961,-0.04,0.05,0.02,0.06
1.971,-0.01,0.07,-0.02,0.07
1.982,0.01,0.06,0.00,0.06
1.992,0.04,0.04,0.00,0.05
2.002,0.04,0.00,0.03,0.05
2.012,0.06,0.00,0.05,0.08
2.022,0.05,-0.01,0.07,0.08
2.032,0.04,-0.02,0.02,0.05
2.042,0.05,-0.01,-0.01,0.05
2.052,0.06,-0.01,-0.03,0.06
2.062,0.06,-0.02,-0.02,0.07
2.072,0.08,-0.02,-0.01,0.08
2.082,0.06,-0.01,0.03,0.07
2.092,0.04,-0.02,0.03,0.05
2.102,0.04,-0.03,0.07,0.09
2.112,0.03,-0.03,0.04,0.06
2.122,0.03,-0.03,0.00,0.04
2.132,0.01,-0.04,-0.01,0.04
2.142,-0.01,-0.03,-0.01,0.04
2.152,-0.03,-0.03,0.01,0.04
2.163,-0.04,-0.00,0.02,0.04
2.173,-0.06,0.01,0.02,0.07
2.183,-0.06,0.03,0.06,0.09
2.193,-0.04,0.03,0.06,0.07
2.203,-0.03,-0.01,0.04,0.05
2.213,-0.01,-0.02,0.03,0.04
2.223,-0.00,-0.02,0.01,0.02
2.233,0.01,-0.01,-0.01,0.02
2.243,0.01,-0.01,-0.03,0.03
2.253,0.01,-0.01,-0.04,0.05
2.263,0.01,-0.03,-0.02,0.04
2.273,0.02,-0.03,0.03,0.05
2.283,0.06,-0.01,0.03,0.07
2.293,0.07,-0.01,0.01,0.08
2.303,0.07,-0.00,0.02,0.07
2.313,0.06,-0.00,-0.02,0.07
2.323,0.04,-0.01,-0.03,0.05
2.334,0.02,0.00,-0.02,0.03
2.343,0.00,-0.01,0.01,0.02
2.354,-0.00,-0.00,0.02,0.02
2.364,-0.03,-0.01,0.02,0.04
2.374,-0.03,-0.00,0.02,0.03
2.384,-0.02,-0.02,0.01,0.03
2.394,-0.01,-0.03,0.01,0.04
2.404,-0.00,-0.02,0.01,0.02
2.414,0.00,-0.01,0.03,0.03
2.424,0.01,-0.01,0.09,0.09
2.434,0.00,0.00,0.10,0.10
2.444,0.04,0.03,0.10,0.11
2.454,0.08,0.07,0.07,0.13
2.464,0.08,0.08,-0.03,0.12
2.474,0.05,0.07,-0.10,0.13
2.484,0.00,0.06,-0.11,0.12
2.494,-0.04,-0.00,-0.06,0.07
2.504,-0.06,-0.07,0.04,0.10
2.514,-0.05,-0.12,0.08,0.16
2.525,-0.04,-0.15,0.10,0.19
2.535,-0.00,-0.15,0.08,0.17
2.545,0.02,-0.11,0.07,0.13
2.555,0.01,-0.06,0.05,0.08
2.565,0.00,-0.03,0.02,0.04
2.575,-0.01,0.02,-0.01,0.02
2.585,-0.01,0.03,-0.02,0.04
2.595,0.01,0.03,0.01,0.03
2.605,0.01,0.01,0.03,0.04
2.615,0.01,0.01,0.04,0.04
2.625,0.02,0.03,0.05,0.06
2.635,0.05,0.03,0.01,0.06
2.645,0.03,0.04,-0.01,0.05
2.655,0.02,0.03,-0.04,0.05
2.665,0.01,0.02,-0.04,0.05
2.675,0.02,0.02,-0.02,0.04
2.685,0.02,-0.01,0.00,0.02
2.696,0.04,-0.01,0.05,0.07
2.706,0.03,-0.00,0.07,0.07
2.716,0.03,0.00,0.05,0.06
2.726,0.05,0.02,0.04,0.07
2.736,0.04,0.01,0.02,0.05
2.746,0.03,-0.00,0.00,0.03
2.756,0.00,-0.02,-0.01,0.02
2.766,-0.02,-0.05,-0.00,0.05
2.776,-0.02,-0.06,0.01,0.07
2.786,-0.02,-0.06,0.03,0.07
2.796,-0.02,-0.06,0.03,0.07
2.806,0.01,-0.05,0.04,0.06
2.816,0.03,-0.03,0.04,0.06
2.826,0.03,-0.03,0.02,0.04
2.836,0.03,-0.02,0.01,0.04
2.847,0.01,-0.02,0.01,0.03
2.856,-0.00,-0.02,0.02,0.03
2.867,-0.03,-0.00,0.03,0.04
2.877,-0.02,0.00,0.04,0.04
2.887,-0.02,0.01,0.03,0.04
2.897,-0.00,0.03,0.03,0.04
2.907,-0.00,0.04,0.01,0.04
2.917,-0.01,0.02,-0.01,0.02
2.927,0.00,-0.01,0.05,0.05
2.937,0.03,-0.04,0.04,0.07
2.947,0.02,-0.05,-0.00,0.06
2.957,0.02,-0.04,0.01,0.05
2.967,0.01,-0.00,-0.01,0.02
2.977,-0.00,0.02,-0.01,0.02
2.987,-0.01,0.05,0.04,0.07
2.997,-0.03,0.05,0.02,0.06
3.007,-0.03,0.02,0.03,0.05
3.017,-0.00,-0.02,0.03,0.04
3.028,0.01,-0.05,0.04,0.07
3.038,0.04,-0.05,0.05,0.07
3.047,0.03,-0.04,0.06,0.08
3.058,0.06,-0.01,0.06,0.09
3.068,0.06,0.04,0.07,0.10
3.078,0.08,0.11,0.01,0.14
3.088,0.08,0.15,-0.06,0.18
3.098,0.06,0.13,-0.06,0.15
3.108,0.03,0.05,-0.07,0.09
3.118,-0.00,-0.03,-0.02,0.03
3.128,-0.01,-0.11,0.04,0.11
3.138,-0.03,-0.16,0.05,0.17
3.148,-0.06,-0.17,0.05,0.19
3.158,-0.05,-0.14,0.03,0.15
3.168,-0.04,-0.08,0.02,0.09
3.178,-0.04,-0.02,0.03,0.06
3.188,-0.04,0.01,0.05,0.07
3.199,-0.02,0.02,0.06,0.07
3.208,0.02,0.03,0.03,0.05
3.219,0.05,0.02,0.02,0.06
3.229,0.06,0.00,0.01,0.06
3.239,0.01,-0.01,-0.01,0.02
3.249,-0.00,-0.00,-0.01,0.01
3.259,-0.01,0.02,-0.00,0.03
3.269,-0.03,0.07,-0.00,0.07
3.279,-0.03,0.08,-0.01,0.08
3.289,-0.00,0.08,-0.01,0.09
3.299,0.05,0.06,0.03,0.08
3.309,0.07,0.02,0.03,0.08
3.319,0.06,-0.01,0.05,0.08
3.329,0.06,-0.03,0.01,0.07
3.339,0.04,-0.05,-0.02,0.07
3.349,0.04,-0.03,-0.00,0.06
3.359,0.03,-0.02,-0.01,0.04
3.370,0.03,-0.03,0.01,0.04
3.379,0.02,-0.01,0.05,0.06
3.390,0.00,-0.05,0.05,0.07
3.400,-0.02,-0.07,0.05,0.09
3.410,-0.04,-0.07,0.04,0.09
3.420,-0.03,-0.08,0.01,0.08
3.430,-0.03,-0.05,-0.01,0.06
3.440,-0.03,-0.01,-0.03,0.04
3.450,-0.00,0.01,-0.02,0.02
3.460,0.02,0.04,-0.00,0.05
3.470,0.01,0.05,0.04,0.06
3.480,0.02,0.04,0.06,0.08
3.490,0.01,0.03,0.08,0.08
3.500,0.00,-0.01,0.05,0.05
3.510,-0.02,-0.02,0.01,0.03
3.520,0.00,-0.03,-0.00,0.03
3.530,-0.00,-0.03,-0.04,0.05
3.540,0.01,-0.01,-0.02,0.03
3.551,0.02,-0.01,-0.01,0.02
3.560,0.02,-0.01,0.03,0.04
3.571,0.01,0.00,0.08,0.09
3.581,0.02,-0.01,0.08,0.08
3.591,0.03,-0.01,0.03,0.04
