time,ax,ay,az,atotal
0.000,0.11,-0.04,0.04,0.12
0.010,0.15,-0.12,0.01,0.19
0.020,0.10,-0.19,-0.03,0.22
0.030,0.03,-0.19,-0.02,0.19
0.040,0.01,-0.14,-0.03,0.14
0.050,-0.00,-0.11,0.03,0.12
0.061,0.02,-0.09,0.05,0.11
0.070,0.02,-0.06,0.00,0.07
0.080,0.06,0.02,-0.06,0.09
0.090,0.06,0.13,-0.10,0.17
0.101,0.05,0.15,-0.13,0.20
0.110,0.03,0.11,-0.09,0.15
0.121,0.01,0.05,-0.04,0.06
0.131,0.00,-0.02,-0.05,0.05
0.141,0.00,-0.03,0.01,0.03
0.151,0.03,0.18,-0.05,0.19
0.161,-0.16,-0.23,-0.01,0.29
0.171,0.03,-0.22,0.15,0.26
0.181,0.10,-0.13,0.12,0.20
0.191,0.13,-0.08,0.05,0.16
0.201,0.19,0.02,0.02,0.19
0.211,0.19,0.05,-0.04,0.20
0.221,0.14,-0.01,-0.04,0.14
0.231,0.11,0.02,0.06,0.13
0.241,0.11,0.05,0.05,0.13
0.251,0.12,0.15,0.02,0.19
0.261,0.07,0.08,-0.01,0.11
0.271,0.05,-0.06,0.01,0.07
0.282,0.02,-0.18,0.07,0.19
0.291,0.01,-0.20,0.02,0.20
0.302,0.07,-0.04,0.03,0.09
0.312,0.03,0.11,0.04,0.12
0.322,0.01,0.22,0.05,0.22
0.331,0.03,0.16,0.09,0.19
0.342,0.02,0.07,0.20,0.22
0.352,-0.01,0.01,0.25,0.25
0.362,-0.03,-0.16,0.15,0.23
0.372,-0.08,-0.19,0.12,0.24
0.382,-0.11,-0.13,0.03,0.17
0.392,-0.29,-0.13,-0.26,0.41
0.402,0.12,-0.05,0.09,0.16
0.412,0.04,-0.10,0.16,0.19
0.422,-0.10,-0.18,0.17,0.26
0.432,-0.07,-0.26,0.18,0.32
0.442,-0.04,-0.30,0.20,0.36
0.452,-0.07,-0.28,0.26,0.39
0.463,-0.01,-0.09,0.39,0.40
0.472,-0.05,0.10,0.38,0.40
0.482,0.16,0.12,0.34,0.39
0.492,0.23,0.00,0.33,0.41
0.503,0.29,-0.07,0.30,0.42
0.512,0.34,-0.09,0.26,0.44
0.523,0.34,-0.11,0.19,0.40
0.533,0.33,-0.04,0.19,0.38
0.543,0.29,0.06,0.17,0.34
0.553,0.21,0.08,0.27,0.35
0.563,0.11,-0.01,0.38,0.39
0.573,0.04,-0.08,0.45,0.46
0.583,-0.01,-0.04,0.41,0.41
0.593,-0.04,-0.00,0.28,0.28
0.603,-0.09,0.01,0.17,0.19
0.613,-0.16,0.02,0.10,0.19
0.623,-0.14,0.00,0.13,0.19
0.633,-0.08,-0.04,0.18,0.20
0.643,-0.03,-0.12,0.17,0.22
0.653,0.01,-0.20,0.16,0.26
0.664,0.07,-0.22,0.11,0.25
0.674,0.11,-0.16,0.09,0.21
0.684,0.15,-0.09,0.06,0.18
0.694,0.16,-0.03,0.00,0.17
0.704,0.13,-0.03,-0.05,0.14
0.714,0.08,-0.02,-0.05,0.10
0.724,0.07,0.03,-0.01,0.07
0.734,0.08,-0.00,0.09,0.11
0.744,0.11,-0.05,0.16,0.20
0.754,0.14,-0.14,0.20,0.29
0.764,0.13,-0.25,0.27,0.38
0.774,0.11,-0.26,0.38,0.47
0.784,0.11,-0.18,0.37,0.42
0.794,0.06,-0.08,0.30,0.32
