time,ax,ay,az,atotal
0.000,0.14,0.05,0.03,0.15
0.010,0.11,0.03,0.02,0.11
0.020,0.05,0.00,0.04,0.06
0.030,0.01,-0.05,0.04,0.07
0.040,-0.04,-0.09,0.03,0.11
0.050,-0.05,-0.08,0.02,0.10
0.060,-0.00,-0.04,0.00,0.04
0.070,0.04,-0.00,-0.01,0.05
0.080,0.05,0.00,-0.04,0.06
0.090,0.02,-0.01,-0.06,0.06
0.101,-0.01,-0.06,-0.05,0.08
0.111,0.00,-0.07,0.00,0.07
0.121,0.04,0.02,0.03,0.05
0.131,0.03,0.14,-0.05,0.15
0.141,-0.07,0.02,-0.00,0.08
0.151,-0.08,-0.04,0.01,0.09
0.161,-0.13,-0.03,-0.01,0.14
0.171,-0.16,-0.00,-0.03,0.16
0.181,0.02,0.38,-0.13,0.40
0.191,-0.21,0.27,-0.14,0.37
0.201,-0.13,0.01,-0.01,0.13
0.211,0.05,-0.01,0.08,0.10
0.221,0.15,-0.04,0.10,0.19
0.231,0.25,-0.11,0.07,0.29
0.241,0.24,-0.15,0.03,0.28
0.251,0.22,-0.11,-0.02,0.25
0.262,0.17,-0.08,0.01,0.19
0.272,0.13,-0.04,0.02,0.14
0.281,0.10,0.01,0.01,0.10
0.292,0.09,0.04,-0.02,0.10
0.302,0.04,0.04,-0.06,0.08
0.312,0.01,0.05,-0.07,0.09
0.322,-0.00,0.02,0.03,0.04
0.332,-0.01,0.02,0.06,0.06
0.342,-0.03,-0.05,0.02,0.06
0.352,-0.01,-0.02,0.02,0.03
0.362,0.02,0.02,0.05,0.06
0.372,0.03,-0.02,0.01,0.03
0.382,0.10,-0.02,0.03,0.11
0.392,0.06,-0.01,0.03,0.07
0.402,0.04,-0.02,0.00,0.04
0.412,0.03,-0.01,0.03,0.04
0.422,0.01,-0.00,-0.02,0.02
0.432,0.01,-0.01,-0.04,0.04
0.442,0.00,0.01,-0.03,0.03
0.453,0.05,0.02,-0.05,0.07
0.463,0.07,0.00,-0.03,0.07
0.473,0.05,-0.02,-0.02,0.06
0.483,0.05,-0.03,-0.00,0.06
0.493,0.00,-0.06,0.03,0.07
0.503,-0.04,-0.06,0.08,0.11
0.513,-0.07,-0.03,0.08,0.11
0.523,-0.08,-0.02,0.09,0.12
0.533,-0.06,-0.01,0.07,0.09
0.543,-0.03,-0.02,0.01,0.04
0.553,0.01,-0.02,-0.01,0.02
0.563,0.08,-0.01,-0.00,0.08
0.573,0.15,-0.00,-0.04,0.16
0.583,0.17,0.01,-0.07,0.18
0.593,0.15,0.01,-0.04,0.15
0.603,0.16,0.01,-0.00,0.16
0.613,0.12,-0.01,0.06,0.13
0.624,0.07,-0.02,0.10,0.12
0.634,0.03,-0.03,0.11,0.12
0.644,0.01,-0.06,0.13,0.15
0.654,-0.03,-0.07,0.17,0.19
0.664,-0.04,-0.09,0.18,0.21
0.674,-0.07,-0.10,0.17,0.21
0.684,-0.09,-0.10,0.17,0.22
0.694,-0.08,-0.07,0.15,0.19
0.704,-0.04,-0.04,0.13,0.14
0.714,0.02,-0.01,0.07,0.07
0.724,0.06,0.02,-0.02,0.06
0.734,0.08,0.02,-0.08,0.11
0.744,0.09,0.02,-0.12,0.16
0.754,0.10,0.02,-0.15,0.18
0.764,0.10,0.01,-0.15,0.18
0.774,0.08,-0.00,-0.13,0.16
0.784,0.06,0.03,-0.14,0.15
0.794,0.03,0.05,-0.13,0.14
0.805,-0.01,0.05,-0.09,0.11
0.815,-0.00,0.05,-0.05,0.07
0.825,0.03,0.02,-0.01,0.03
0.835,0.05,0.00,0.02,0.06
0.845,0.07,-0.01,0.04,0.08
0.855,0.06,-0.02,0.04,0.08
0.865,0.05,-0.03,0.04,0.07
0.875,0.04,-0.03,0.06,0.08
0.885,0.04,-0.05,0.07,0.10
0.895,0.04,-0.06,0.07,0.10
0.905,0.05,-0.03,0.10,0.12
0.915,0.03,-0.05,0.10,0.12
0.925,0.03,-0.05,0.12,0.13
0.936,0.08,-0.05,0.10,0.14
0.945,0.13,-0.03,0.07,0.15
0.955,0.18,-0.01,0.10,0.21
0.965,0.20,-0.01,0.13,0.24
0.975,0.18,-0.01,0.14,0.22
0.986,0.12,-0.01,0.11,0.16
0.995,0.06,-0.01,0.06,0.09
1.006,0.01,-0.01,-0.00,0.01
1.015,-0.02,-0.02,-0.05,0.06
1.026,-0.01,-0.01,-0.10,0.10
1.036,-0.02,0.02,-0.15,0.15
1.046,-0.03,0.05,-0.13,0.14
1.056,-0.06,0.05,-0.08,0.11
1.066,-0.07,0.04,-0.04,0.08
1.076,-0.08,0.05,-0.08,0.13
1.086,-0.09,0.04,-0.16,0.19
1.096,-0.12,0.04,-0.20,0.24
1.106,-0.16,0.05,-0.25,0.30
1.116,-0.20,0.04,-0.21,0.29
1.126,-0.20,-0.00,-0.11,0.23
1.136,-0.09,-0.02,-0.01,0.10
