time,ax,ay,az,atotal
0.000,0.10,0.06,0.27,0.29
0.010,0.14,-0.05,0.27,0.31
0.020,0.13,-0.11,0.28,0.33
0.030,0.02,-0.22,0.30,0.38
0.040,-0.00,-0.31,0.35,0.47
0.050,0.06,-0.30,0.34,0.46
0.060,0.10,-0.21,0.30,0.38
0.070,0.07,-0.17,0.32,0.36
0.080,0.07,-0.14,0.32,0.36
0.091,0.08,-0.11,0.29,0.32
0.101,-0.07,-0.16,0.30,0.34
0.111,-0.08,-0.17,0.38,0.43
0.121,0.08,-0.18,0.39,0.43
0.131,0.04,-0.25,0.44,0.51
0.141,0.52,0.08,0.55,0.76
0.151,0.36,-0.05,0.34,0.49
0.161,0.10,-0.21,0.21,0.32
0.171,0.22,0.06,0.23,0.33
0.181,0.10,0.16,0.49,0.52
0.191,0.14,-0.00,0.31,0.34
0.201,0.12,-0.25,0.15,0.32
0.211,0.11,-0.39,0.17,0.44
0.221,0.13,-0.37,0.22,0.45
0.231,0.11,-0.34,0.24,0.44
0.242,0.02,-0.25,0.23,0.34
0.251,-0.14,-0.20,0.15,0.29
0.262,-0.21,-0.17,0.17,0.32
0.272,-0.31,-0.15,0.18,0.39
0.281,-0.34,0.02,0.28,0.44
0.292,-0.13,0.18,0.32,0.39
0.302,-0.00,0.26,0.33,0.42
0.312,0.13,0.16,0.27,0.34
0.322,0.23,-0.08,0.18,0.31
0.332,0.31,-0.15,0.10,0.36
0.342,0.40,-0.06,0.06,0.41
0.352,0.37,0.10,0.02,0.39
0.362,0.24,0.15,-0.08,0.29
0.372,0.24,0.18,-0.07,0.31
0.382,0.25,0.06,-0.04,0.27
0.392,0.29,-0.14,0.03,0.33
0.402,0.37,-0.25,0.10,0.46
0.412,0.41,-0.35,0.11,0.55
0.422,0.38,-0.41,0.05,0.56
0.432,0.24,-0.38,-0.00,0.45
0.442,0.08,-0.26,0.01,0.27
0.452,-0.11,-0.13,0.04,0.18
0.463,-0.30,-0.08,0.10,0.33
0.473,-0.44,-0.12,0.18,0.49
0.483,-0.49,-0.20,0.21,0.57
0.493,-0.46,-0.27,0.10,0.54
0.503,-0.40,-0.31,0.01,0.50
0.513,-0.35,-0.28,0.02,0.45
0.523,-0.21,-0.16,0.11,0.29
0.533,-0.03,0.18,0.18,0.26
0.543,0.07,0.50,0.16,0.53
0.553,0.03,0.53,0.01,0.53
0.563,-0.10,0.23,-0.13,0.28
0.573,-0.12,-0.11,-0.11,0.20
0.583,-0.04,-0.34,0.01,0.34
0.594,0.09,-0.48,0.18,0.52
0.603,0.27,-0.51,0.34,0.67
0.613,0.39,-0.45,0.35,0.70
0.624,0.43,-0.43,0.30,0.67
0.634,0.50,-0.43,0.29,0.72
0.644,0.63,-0.48,0.29,0.85
0.654,0.78,-0.46,0.28,0.95
0.664,0.91,-0.48,0.24,1.05
0.674,0.98,-0.45,0.25,1.11
0.684,0.99,-0.40,0.19,1.09
0.695,0.93,-0.24,0.13,0.97
0.704,0.81,0.07,0.12,0.82
0.714,0.52,0.44,0.10,0.69
0.724,0.20,0.78,-0.04,0.81
0.734,-0.14,0.83,-0.23,0.88
0.744,-0.47,0.70,-0.28,0.89
0.754,-0.66,0.43,-0.12,0.80
0.764,-0.66,0.26,0.07,0.71
0.774,-0.52,0.24,0.16,0.60
0.784,-0.28,0.29,0.22,0.46
0.795,-0.07,0.36,0.29,0.46
0.804,0.13,0.40,0.32,0.52
0.814,0.24,0.34,0.33,0.53
0.825,0.40,0.27,0.40,0.63
0.835,0.65,0.17,0.39,0.78
0.845,0.81,0.01,0.32,0.87
0.855,0.91,-0.29,0.37,1.02
0.865,1.05,-0.54,0.40,1.25
0.875,1.15,-0.66,0.41,1.39
0.885,1.22,-0.69,0.44,1.47
0.895,1.25,-0.63,0.43,1.46
0.905,1.18,-0.51,0.30,1.32
0.915,1.04,-0.44,0.26,1.16
0.925,0.86,-0.46,0.37,1.04
0.935,0.80,-0.38,0.44,0.99
0.945,0.82,-0.20,0.57,1.02
0.955,0.92,-0.07,0.65,1.13
0.965,0.99,-0.08,0.70,1.21
0.975,1.07,-0.12,0.72,1.30
0.986,1.08,-0.15,0.71,1.30
0.996,1.13,-0.14,0.81,1.40
1.006,1.26,-0.03,0.90,1.55
1.016,1.25,0.04,0.83,1.50
1.026,1.15,-0.05,0.73,1.37
1.036,1.07,-0.24,0.69,1.30
1.046,0.96,-0.32,0.77,1.27
1.056,0.87,-0.31,0.83,1.24
1.066,0.82,-0.33,0.91,1.27
1.076,0.88,-0.37,0.93,1.33
1.086,0.95,-0.45,0.95,1.42
1.096,1.03,-0.56,0.95,1.51
1.106,1.14,-0.62,0.93,1.59
1.116,1.20,-0.55,0.88,1.59
1.126,1.20,-0.40,0.79,1.49
1.137,1.18,-0.21,0.74,1.41
1.146,1.14,-0.06,0.69,1.34
1.156,1.06,0.06,0.64,1.24
1.166,0.94,0.13,0.61,1.13
1.177,0.91,0.18,0.74,1.19
1.187,1.02,0.25,0.84,1.35
1.197,1.08,0.28,0.98,1.48
1.207,1.16,0.18,1.23,1.69
1.217,1.26,-0.01,1.40,1.89
1.227,1.35,-0.14,1.44,1.98
1.237,1.32,-0.17,1.42,1.95
1.247,1.17,-0.18,1.42,1.85
1.257,1.10,-0.14,1.38,1.77
1.267,1.13,-0.10,1.34,1.75
1.277,1.19,-0.00,1.28,1.75
1.287,1.19,0.21,1.13,1.65
1.297,1.17,0.47,1.02,1.62
1.307,1.13,0.59,0.91,1.57
1.317,1.11,0.70,1.00,1.65
1.327,1.31,0.80,1.03,1.85
1.337,1.62,0.69,1.03,2.04
1.348,1.85,0.53,1.06,2.19
1.358,1.86,0.52,0.92,2.14
1.368,1.60,0.68,0.52,1.82
1.378,1.11,0.99,-0.12,1.49
1.388,0.46,1.22,-0.72,1.49
1.398,-0.26,1.30,-1.04,1.69
1.408,-0.84,1.06,-1.21,1.81
1.418,-1.23,0.59,-1.37,1.93
1.428,-1.38,0.02,-1.40,1.97
1.438,-1.34,-0.49,-1.24,1.89
1.448,-1.10,-0.75,-0.94,1.63
1.458,-0.73,-0.82,-0.76,1.33
1.468,-0.48,-0.82,-0.75,1.20
1.478,-0.36,-0.86,-0.86,1.27
1.488,-0.39,-0.78,-0.94,1.28
1.498,-0.50,-0.64,-0.88,1.20
1.508,-0.69,-0.39,-0.78,1.11
1.518,-0.79,0.05,-0.60,1.00
1.529,-0.79,0.59,-0.42,1.07
1.539,-0.72,1.02,-0.22,1.27
1.549,-0.59,1.23,-0.04,1.36
1.559,-0.50,1.34,0.03,1.43
1.569,-0.48,1.42,0.09,1.50
1.579,-0.18,1.34,0.06,1.35
1.589,0.17,1.01,0.00,1.03
1.599,0.42,0.61,-0.05,0.75
1.609,0.41,0.25,-0.05,0.48
1.619,0.35,-0.05,-0.01,0.35
1.629,0.33,-0.45,-0.01,0.56
1.639,0.23,-0.88,0.00,0.91
1.649,0.12,-1.23,-0.00,1.24
1.659,0.06,-1.45,-0.02,1.45
1.669,-0.11,-1.58,0.10,1.58
1.679,-0.37,-1.57,0.34,1.65
1.689,-0.45,-1.55,0.34,1.65
1.699,-0.40,-1.51,0.24,1.58
1.710,-0.42,-1.43,0.34,1.53
1.720,-0.32,-1.27,0.51,1.41
1.730,-0.14,-1.12,0.76,1.36
1.740,0.00,-1.01,0.71,1.23
1.750,0.20,-0.89,0.43,1.01
1.760,0.30,-0.74,0.27,0.84
1.770,0.25,-0.69,0.31,0.79
1.780,0.17,-0.74,0.27,0.80
1.790,0.07,-0.92,0.30,0.97
1.800,-0.02,-1.12,0.46,1.21
1.810,0.01,-1.23,0.66,1.39
1.820,0.13,-1.24,0.80,1.49
1.830,0.14,-1.25,0.84,1.52
1.840,0.11,-1.21,0.93,1.53
1.850,0.12,-1.12,1.06,1.55
1.860,0.18,-0.99,1.05,1.45
1.870,0.14,-0.76,0.96,1.23
1.880,-0.02,-0.49,1.05,1.16
1.891,-0.01,-0.27,1.29,1.32
1.901,0.23,-0.10,1.55,1.57
1.911,0.55,0.02,1.66,1.75
1.921,0.78,0.10,1.50,1.69
1.931,0.79,0.16,1.24,1.47
1.941,0.63,0.15,1.30,1.45
1.951,0.50,0.13,1.67,1.75
1.961,0.44,0.07,2.16,2.21
1.971,0.51,0.10,2.44,2.49
1.981,0.59,0.35,2.62,2.71
1.991,0.71,0.71,2.79,2.96
2.001,0.99,1.32,2.54,3.02
2.011,1.00,2.19,2.03,3.15
2.021,0.81,3.17,1.68,3.68
2.031,0.45,3.91,1.54,4.23
2.042,-0.40,3.88,1.45,4.16
2.051,-1.30,3.18,1.08,3.60
2.062,-1.61,2.26,0.82,2.89
2.072,-1.25,1.40,0.93,2.10
2.082,-0.57,0.83,1.03,1.43
2.092,0.11,0.63,0.95,1.15
2.102,0.63,0.56,0.66,1.07
2.112,1.10,0.18,0.23,1.13
2.122,1.56,-0.37,-0.41,1.66
2.132,1.51,-0.92,-1.27,2.18
2.142,1.07,-1.27,-2.18,2.74
2.152,0.49,-1.37,-2.54,2.92
2.162,-0.04,-1.29,-2.62,2.92
2.172,-0.67,-1.08,-2.60,2.89
2.182,-1.27,-0.84,-2.48,2.91
2.192,-1.82,-0.70,-2.30,3.02
2.202,-2.16,-0.59,-2.08,3.05
2.212,-2.18,-0.37,-1.87,2.90
2.222,-1.85,-0.30,-1.66,2.50
2.232,-1.32,-0.36,-1.36,1.93
2.243,-0.79,-0.32,-1.05,1.36
2.253,-0.26,-0.15,-0.96,1.01
2.263,0.22,0.10,-0.85,0.88
2.273,0.56,0.38,-0.78,1.03
2.283,0.65,0.56,-0.86,1.21
2.293,0.48,0.38,-0.93,1.11
2.303,0.17,-0.15,-0.93,0.95
2.313,-0.09,-0.62,-0.90,1.10
2.323,-0.21,-0.85,-0.85,1.22
2.333,-0.15,-1.03,-0.89,1.36
2.343,-0.18,-1.14,-0.93,1.48
2.353,-0.11,-1.15,-0.77,1.39
2.363,0.04,-1.06,-0.63,1.23
2.373,0.29,-0.82,-0.66,1.09
2.383,0.58,-0.54,-0.70,1.06
2.393,0.78,-0.43,-0.57,1.06
2.403,0.95,-0.46,-0.28,1.09
2.414,1.07,-0.54,-0.04,1.20
2.424,1.09,-0.67,0.14,1.28
2.434,1.11,-0.70,0.40,1.37
2.444,1.19,-0.83,0.54,1.55
2.454,1.20,-0.83,0.58,1.57
2.464,1.19,-0.87,0.69,1.63
2.474,1.24,-0.83,0.83,1.71
2.484,1.32,-0.75,0.88,1.75
2.494,1.46,-0.70,0.90,1.85
2.504,1.66,-0.73,0.84,2.00
2.514,1.80,-0.74,0.67,2.05
2.524,1.86,-0.68,0.42,2.03
2.534,1.88,-0.55,0.22,1.97
2.544,1.76,-0.29,0.09,1.79
2.554,1.44,0.02,0.07,1.44
2.564,0.93,0.18,0.17,0.96
2.574,0.54,0.20,0.30,0.65
2.584,0.41,0.21,0.50,0.68
2.595,0.42,0.26,0.92,1.04
2.605,0.68,0.43,1.31,1.54
2.615,1.01,0.44,1.67,2.00
2.625,1.35,0.26,2.00,2.43
2.635,1.72,0.08,2.26,2.84
2.645,2.06,-0.01,2.39,3.15
2.655,2.29,0.08,2.27,3.23
2.665,2.36,0.29,2.03,3.13
2.675,2.07,0.55,1.84,2.82
2.685,1.32,1.09,1.79,2.47
2.695,0.61,1.68,1.88,2.59
2.705,0.46,2.06,2.06,2.95
2.715,0.74,2.22,1.87,2.99
2.725,0.83,2.18,0.90,2.50
2.735,0.46,2.16,-0.31,2.23
2.745,-0.20,2.51,-1.29,2.83
2.756,-0.93,2.77,-2.37,3.76
2.765,-1.87,2.44,-3.26,4.48
2.776,-2.57,1.83,-4.01,5.10
2.786,-3.32,1.37,-4.42,5.69
2.796,-3.56,0.77,-4.22,5.58
2.806,-3.34,-0.09,-3.56,4.89
2.816,-2.68,-0.77,-2.63,3.83
2.826,-1.68,-1.19,-2.05,2.90
2.836,-0.73,-1.35,-1.86,2.42
2.846,-0.04,-1.23,-1.62,2.03
2.856,0.35,-0.80,-1.27,1.54
2.866,0.65,-0.28,-0.87,1.12
2.876,0.87,0.30,-0.52,1.06
2.886,1.01,0.92,-0.30,1.39
2.896,0.87,1.39,-0.28,1.67
2.906,0.39,1.60,-0.37,1.69
2.916,-0.33,1.56,-0.52,1.68
2.926,-0.79,1.27,-0.60,1.61
2.936,-0.50,1.30,-0.38,1.45
2.946,-0.36,1.03,-0.32,1.14
2.957,-0.60,0.28,-0.30,0.72
2.967,-0.46,-0.45,-0.14,0.66
2.977,-0.14,-0.96,-0.03,0.98
2.987,0.06,-1.27,-0.02,1.27
2.997,-0.07,-1.47,-0.06,1.47
3.007,-0.28,-1.63,0.05,1.66
3.017,-0.41,-1.86,0.19,1.91
3.027,-0.42,-2.05,0.32,2.12
3.037,-0.28,-2.07,0.49,2.15
3.047,-0.04,-1.96,0.52,2.03
3.057,0.24,-1.89,0.33,1.94
3.067,0.26,-1.78,0.22,1.81
3.077,0.21,-1.65,0.22,1.68
3.087,0.13,-1.59,0.36,1.63
3.097,-0.07,-1.71,0.48,1.78
3.107,-0.24,-1.76,0.33,1.81
3.117,-0.30,-1.57,0.12,1.61
3.128,-0.32,-1.26,0.20,1.31
3.137,-0.42,-1.14,0.44,1.29
3.148,-0.53,-1.11,0.69,1.41
3.158,-0.37,-1.18,1.10,1.66
3.168,0.07,-1.24,1.50,1.94
3.178,0.52,-1.22,1.61,2.08
3.188,0.74,-1.00,1.44,1.90
3.198,0.75,-0.77,1.07,1.52
3.208,0.81,-0.52,0.91,1.32
3.218,0.74,-0.42,1.22,1.48
3.228,0.70,-0.37,1.55,1.74
3.238,0.65,-0.04,1.48,1.61
3.248,0.57,0.35,1.33,1.49
3.258,0.75,0.79,1.21,1.62
3.268,0.73,1.18,1.39,1.97
3.278,0.36,1.32,1.54,2.06
3.288,0.20,1.17,2.03,2.35
3.298,0.62,0.86,2.74,2.94
3.308,1.48,0.64,3.04,3.44
3.319,2.39,0.87,2.81,3.79
3.329,2.88,2.04,2.21,4.17
3.339,2.58,3.86,1.24,4.80
3.349,1.60,5.26,1.15,5.62
3.359,0.31,5.39,1.60,5.64
3.369,-0.75,4.23,1.78,4.65
3.379,-1.05,3.11,1.23,3.51
3.389,-1.34,2.30,0.24,2.68
3.399,-1.66,1.97,-0.09,2.57
3.409,-1.63,1.84,0.09,2.46
3.419,-1.48,1.39,0.10,2.03
3.429,-1.02,0.47,-0.27,1.15
3.439,-0.35,-0.63,-0.84,1.11
3.449,0.22,-1.45,-1.39,2.02
3.459,0.41,-1.91,-1.95,2.76
3.469,0.08,-2.14,-2.59,3.36
3.479,-0.30,-2.09,-3.01,3.68
3.490,-0.83,-1.85,-2.96,3.59
3.499,-1.55,-1.50,-2.66,3.43
3.510,-2.16,-1.02,-2.32,3.33
3.520,-2.45,-0.50,-2.06,3.24
3.530,-2.44,-0.11,-1.78,3.02
3.540,-2.29,0.03,-1.48,2.73
3.550,-2.11,-0.01,-1.25,2.45
3.560,-1.72,-0.29,-0.99,2.01
3.570,-1.10,-0.57,-0.68,1.42
3.580,-0.47,-0.75,-0.64,1.09
3.590,0.11,-1.00,-0.66,1.20
3.600,0.42,-1.10,-0.67,1.36
3.610,0.54,-1.00,-0.77,1.37
3.620,0.62,-0.90,-0.86,1.40
3.630,0.68,-0.97,-0.85,1.46
3.640,0.58,-1.15,-0.76,1.49
3.650,0.47,-1.22,-0.62,1.45
3.660,0.45,-1.24,-0.49,1.41
3.670,0.51,-1.18,-0.40,1.35
3.681,0.59,-1.01,-0.40,1.24
3.691,0.62,-0.80,-0.41,1.09
3.701,0.64,-0.73,-0.37,1.04
