time,ax,ay,az,atotal
0.000,-0.07,0.07,-0.07,0.12
0.010,0.01,0.08,-0.08,0.12
0.020,0.04,0.06,-0.05,0.08
0.030,-0.05,-0.06,0.00,0.08
0.040,-0.07,-0.18,0.04,0.20
0.050,-0.06,-0.22,0.04,0.24
0.060,-0.05,-0.20,0.07,0.22
0.070,-0.00,-0.16,0.10,0.19
0.080,0.23,-0.06,0.16,0.28
0.091,1.14,0.55,0.26,1.29
0.101,0.82,0.46,-0.03,0.94
0.111,-0.29,-0.49,-0.03,0.56
0.121,0.19,-0.33,0.22,0.44
0.131,0.26,-0.11,0.24,0.37
0.141,0.27,0.08,0.10,0.30
0.151,0.19,0.13,-0.06,0.24
0.161,0.05,0.02,-0.13,0.14
0.171,-0.03,-0.10,-0.10,0.15
0.181,-0.01,-0.14,-0.01,0.14
0.191,0.02,-0.08,-0.03,0.09
0.201,0.08,0.06,-0.06,0.11
0.211,0.06,0.12,-0.10,0.17
0.221,-0.03,-0.01,-0.10,0.11
0.231,-0.08,-0.12,-0.06,0.16
0.241,-0.10,-0.07,-0.01,0.12
0.252,-0.12,-0.04,-0.01,0.13
0.261,-0.16,-0.04,-0.06,0.18
0.272,-0.09,0.05,-0.06,0.12
0.282,-0.05,-0.04,-0.06,0.09
0.292,-0.07,-0.11,-0.03,0.14
0.302,-0.03,-0.13,0.03,0.13
0.312,0.07,-0.12,0.09,0.16
0.322,0.13,-0.09,0.08,0.18
0.332,0.20,-0.04,0.05,0.21
0.342,0.24,0.01,-0.02,0.24
0.352,0.21,0.02,-0.08,0.23
0.362,0.21,0.01,-0.05,0.21
0.372,0.16,-0.00,-0.00,0.16
0.382,0.14,0.03,-0.01,0.14
0.392,0.15,0.02,-0.07,0.16
0.402,0.17,0.02,-0.16,0.23
0.412,0.20,0.01,-0.19,0.28
0.422,0.20,0.04,-0.24,0.32
0.432,0.15,0.12,-0.25,0.32
0.443,0.12,0.16,-0.25,0.32
0.453,0.06,0.15,-0.29,0.33
0.463,-0.03,0.11,-0.28,0.30
0.473,-0.08,0.05,-0.23,0.24
0.483,-0.05,-0.03,-0.16,0.17
0.493,0.04,-0.05,-0.04,0.07
0.503,0.14,0.00,-0.01,0.14
0.513,0.22,0.04,-0.04,0.23
0.523,0.24,0.01,-0.07,0.25
0.533,0.19,-0.03,-0.14,0.24
0.543,0.10,-0.04,-0.16,0.20
0.553,0.05,-0.02,-0.18,0.19
0.563,-0.02,-0.05,-0.20,0.20
0.573,-0.12,-0.06,-0.20,0.24
0.583,-0.18,-0.07,-0.14,0.24
0.593,-0.24,-0.08,-0.10,0.27
0.604,-0.24,-0.05,-0.08,0.25
0.614,-0.21,0.03,-0.07,0.22
0.624,-0.16,0.06,-0.10,0.19
0.634,-0.11,0.04,-0.09,0.15
0.644,-0.08,0.00,-0.07,0.11
0.654,-0.07,0.00,-0.05,0.09
0.664,-0.01,0.05,-0.03,0.06
0.674,0.05,0.14,-0.01,0.15
0.684,0.13,0.16,-0.06,0.21
0.694,0.13,0.08,-0.10,0.18
0.704,0.07,0.00,-0.10,0.13
0.714,0.06,-0.02,-0.06,0.09
0.724,0.05,0.04,-0.06,0.09
0.734,0.05,0.05,-0.09,0.11
0.744,0.02,0.05,-0.13,0.14
0.754,-0.04,0.02,-0.14,0.15
0.764,-0.09,0.02,-0.15,0.18
0.775,-0.08,0.04,-0.10,0.13
0.785,0.00,0.04,-0.08,0.09
0.795,0.06,0.01,-0.07,0.09
0.805,0.08,-0.02,-0.04,0.09
0.815,0.08,-0.04,-0.00,0.09
0.825,0.09,-0.04,0.03,0.10
0.835,0.09,-0.04,0.06,0.12
0.845,0.09,0.01,-0.03,0.09
0.855,0.07,0.04,-0.10,0.13
0.865,0.04,0.05,-0.15,0.16
0.875,-0.04,0.00,-0.17,0.18
0.885,-0.14,0.01,-0.17,0.22
0.895,-0.24,-0.01,-0.12,0.27
0.905,-0.28,-0.05,-0.05,0.29
0.915,-0.31,-0.11,-0.06,0.33
0.925,-0.32,-0.13,0.01,0.35
0.935,-0.25,-0.10,0.09,0.28
0.945,-0.16,-0.01,0.05,0.17
0.956,-0.07,0.08,-0.00,0.11
0.966,-0.00,0.11,-0.01,0.11
0.976,0.07,0.09,0.02,0.12
0.986,0.11,0.00,-0.05,0.12
0.996,0.08,-0.09,-0.10,0.16
1.006,0.04,-0.18,-0.07,0.19
1.016,-0.01,-0.21,-0.05,0.21
