time,ax,ay,az,atotal
0.000,0.08,-0.01,0.32,0.33
0.010,0.01,-0.13,0.32,0.35
0.020,-0.06,-0.26,0.31,0.41
0.030,-0.18,-0.38,0.34,0.54
0.040,-0.21,-0.40,0.36,0.58
0.050,-0.17,-0.31,0.36,0.51
0.060,-0.12,-0.19,0.32,0.39
0.070,-0.06,-0.11,0.27,0.30
0.080,-0.11,-0.06,0.26,0.29
0.090,-0.04,-0.00,0.30,0.30
0.100,0.25,0.16,0.38,0.48
0.110,-0.22,-0.16,0.24,0.36
0.121,-0.29,-0.24,0.25,0.45
0.131,-0.23,-0.17,0.32,0.43
0.141,-0.17,-0.13,0.39,0.44
0.151,-0.11,-0.12,0.38,0.41
0.161,-0.08,-0.13,0.32,0.36
0.171,-0.05,-0.17,0.30,0.34
0.181,0.01,-0.22,0.29,0.36
0.191,0.03,-0.21,0.31,0.38
0.201,0.07,-0.19,0.33,0.39
0.211,0.08,-0.14,0.39,0.42
0.221,0.15,-0.07,0.41,0.44
0.231,0.22,-0.13,0.38,0.45
0.241,0.21,-0.15,0.42,0.49
0.251,0.21,-0.13,0.36,0.43
0.261,0.16,-0.09,0.38,0.43
0.271,0.24,-0.00,0.45,0.51
0.281,0.11,-0.17,0.32,0.38
0.291,0.10,-0.04,0.29,0.31
0.302,0.10,0.04,0.21,0.24
0.312,0.15,-0.12,0.26,0.32
0.322,0.20,-0.18,0.31,0.41
0.332,0.22,-0.25,0.28,0.44
0.342,0.15,-0.28,0.17,0.36
0.352,-0.01,-0.30,0.06,0.31
0.362,-0.13,-0.33,-0.03,0.35
0.372,-0.25,-0.26,0.01,0.36
0.382,-0.36,-0.11,0.11,0.39
0.392,-0.48,-0.02,0.16,0.50
0.402,-0.57,-0.04,0.21,0.61
0.412,-0.59,-0.06,0.19,0.63
0.422,-0.54,-0.04,0.14,0.56
0.432,-0.44,-0.07,0.12,0.46
0.442,-0.30,-0.14,0.10,0.35
0.452,-0.17,-0.14,0.04,0.22
0.463,-0.09,-0.06,-0.03,0.11
0.473,-0.07,0.04,-0.06,0.10
0.482,-0.10,0.07,-0.03,0.13
0.493,-0.26,0.04,-0.05,0.26
0.503,-0.49,-0.09,-0.14,0.52
0.513,-0.68,-0.27,-0.12,0.74
0.523,-0.74,-0.41,0.13,0.86
0.533,-0.60,-0.47,0.35,0.84
0.543,-0.30,-0.40,0.37,0.62
0.553,0.01,-0.31,0.29,0.42
0.563,0.21,-0.18,0.14,0.32
0.573,0.31,-0.05,-0.01,0.31
0.583,0.31,0.05,-0.18,0.36
0.593,0.26,0.10,-0.23,0.36
0.603,0.15,0.09,-0.18,0.25
0.613,0.06,0.02,-0.02,0.06
0.623,0.08,-0.01,0.10,0.13
0.633,0.17,-0.02,0.02,0.18
0.643,0.25,0.02,-0.08,0.26
0.654,0.33,0.11,-0.11,0.36
0.664,0.42,0.22,-0.11,0.49
0.673,0.53,0.29,-0.13,0.62
0.684,0.55,0.32,-0.19,0.66
0.694,0.42,0.27,-0.20,0.53
0.704,0.29,0.23,-0.17,0.41
0.714,0.23,0.23,-0.09,0.34
0.724,0.28,0.26,0.02,0.39
0.734,0.38,0.30,-0.01,0.48
0.744,0.41,0.31,-0.12,0.53
0.754,0.32,0.27,-0.19,0.46
0.764,0.18,0.34,-0.23,0.45
0.774,0.09,0.48,-0.18,0.52
0.784,-0.03,0.52,-0.07,0.52
0.794,0.00,0.33,0.09,0.35
0.804,0.06,0.09,0.21,0.23
0.814,0.19,-0.21,0.23,0.36
0.824,0.41,-0.45,0.28,0.67
0.835,0.75,-0.51,0.34,0.97
0.844,1.05,-0.40,0.35,1.18
0.854,1.19,-0.25,0.26,1.24
0.865,1.15,-0.17,0.18,1.17
0.875,1.08,-0.14,0.16,1.10
0.885,1.03,-0.16,0.19,1.06
0.895,0.88,-0.15,0.23,0.92
0.905,0.73,-0.06,0.28,0.79
0.915,0.57,-0.02,0.31,0.65
0.925,0.45,0.03,0.39,0.60
0.935,0.43,0.02,0.43,0.61
0.945,0.44,0.00,0.33,0.55
0.955,0.43,0.01,0.13,0.45
0.965,0.40,0.03,0.04,0.40
0.975,0.37,0.02,0.04,0.37
0.985,0.36,0.03,0.10,0.38
0.995,0.31,0.05,0.27,0.41
1.005,0.36,0.09,0.34,0.50
1.016,0.47,0.09,0.27,0.55
1.026,0.52,-0.01,0.13,0.54
1.036,0.57,-0.15,0.13,0.60
1.046,0.61,-0.28,0.24,0.72
1.056,0.66,-0.32,0.36,0.81
1.066,0.71,-0.32,0.41,0.88
1.076,0.72,-0.30,0.34,0.85
1.086,0.73,-0.28,0.24,0.81
1.096,0.73,-0.23,0.23,0.80
1.106,0.71,-0.18,0.37,0.82
1.116,0.75,-0.17,0.56,0.95
1.126,0.85,-0.12,0.65,1.08
1.136,0.94,0.02,0.61,1.12
1.146,0.94,0.09,0.46,1.05
1.156,0.88,-0.02,0.39,0.96
1.166,0.80,-0.14,0.42,0.91
1.176,0.78,-0.08,0.54,0.95
1.186,0.80,0.07,0.58,0.99
1.196,0.82,0.28,0.52,1.01
1.206,0.77,0.43,0.42,0.98
1.217,0.71,0.47,0.34,0.91
1.227,0.65,0.42,0.30,0.83
1.237,0.62,0.51,0.32,0.86
1.247,0.67,0.49,0.43,0.93
1.257,0.81,0.35,0.58,1.06
1.267,0.87,0.26,0.77,1.19
1.277,0.88,0.16,0.86,1.24
1.287,0.90,0.07,0.88,1.26
1.297,0.94,0.04,0.93,1.32
1.307,1.08,0.08,1.14,1.57
1.317,1.38,0.22,1.32,1.92
1.327,1.74,0.56,1.09,2.13
1.337,2.13,1.03,0.85,2.51
1.347,2.43,1.33,0.68,2.86
1.357,2.34,1.67,0.29,2.89
1.367,1.70,2.15,-0.14,2.74
1.377,0.83,2.65,-0.32,2.79
1.388,0.14,3.07,-0.15,3.07
1.398,-0.13,3.13,0.18,3.14
1.408,-0.22,3.03,0.24,3.04
1.418,-0.48,2.97,0.07,3.01
1.428,-0.98,2.82,-0.16,2.99
1.438,-1.31,2.37,-0.23,2.71
1.448,-1.29,1.76,-0.30,2.20
1.458,-1.23,1.31,-0.50,1.86
1.468,-1.17,1.01,-0.74,1.72
1.478,-1.05,0.70,-0.83,1.51
1.488,-0.91,0.30,-0.86,1.29
1.498,-0.78,0.04,-0.88,1.17
1.508,-0.64,-0.09,-1.17,1.34
1.518,-0.47,0.04,-1.62,1.69
1.528,-0.33,0.46,-1.79,1.88
1.538,-0.07,0.86,-1.61,1.83
1.548,0.08,1.25,-1.25,1.77
1.558,0.25,1.51,-0.82,1.74
1.569,0.35,1.24,-0.51,1.39
1.579,0.37,0.53,-0.15,0.66
1.589,0.30,-0.02,0.30,0.42
1.599,0.22,-0.23,0.51,0.60
1.609,0.13,-0.36,0.68,0.78
1.619,0.11,-0.03,0.87,0.88
1.629,0.31,0.23,0.56,0.68
1.639,0.17,0.15,0.40,0.46
1.649,-0.18,-0.21,0.11,0.30
1.659,-0.39,-0.67,-0.18,0.79
1.669,-0.56,-1.02,-0.41,1.23
1.679,-0.75,-1.34,-0.58,1.65
1.689,-0.87,-1.69,-0.67,2.01
1.699,-0.96,-1.97,-0.74,2.31
1.709,-0.98,-2.06,-0.69,2.38
1.719,-0.85,-2.05,-0.53,2.29
1.730,-0.62,-2.04,-0.46,2.18
1.740,-0.43,-1.97,-0.57,2.10
1.750,-0.34,-1.91,-0.68,2.06
1.760,-0.28,-1.96,-0.63,2.08
1.770,-0.32,-2.10,-0.59,2.20
1.780,-0.39,-2.16,-0.55,2.26
1.790,-0.29,-2.15,-0.42,2.21
1.800,-0.12,-2.18,-0.29,2.20
1.810,-0.15,-2.17,-0.16,2.18
1.820,-0.21,-2.18,-0.02,2.19
1.830,-0.26,-2.18,0.16,2.20
1.840,-0.20,-2.07,0.30,2.10
1.850,-0.02,-1.85,0.34,1.88
1.860,0.08,-1.46,0.42,1.52
1.870,0.26,-1.01,0.53,1.17
1.880,0.46,-0.68,0.54,0.98
1.890,0.54,-0.37,0.53,0.84
1.900,0.61,-0.13,0.39,0.74
1.910,0.54,0.03,0.29,0.61
1.920,0.31,0.15,0.25,0.42
1.931,0.18,0.26,0.25,0.40
1.940,0.11,0.30,0.43,0.53
1.951,-0.07,0.34,0.58,0.68
1.961,-0.18,0.42,0.50,0.68
1.971,-0.19,0.34,0.58,0.70
1.981,-0.17,0.26,0.71,0.78
1.991,-0.08,0.13,0.83,0.84
2.001,0.03,-0.09,0.97,0.98
2.011,0.17,-0.32,1.16,1.21
2.021,0.38,-0.44,1.26,1.38
2.031,0.62,-0.41,1.21,1.42
2.041,0.77,-0.26,1.23,1.47
2.051,0.87,0.09,1.35,1.61
2.061,0.96,0.44,1.44,1.79
2.071,1.02,0.79,1.26,1.80
2.081,0.96,0.71,1.29,1.76
2.091,0.81,0.38,1.24,1.53
2.102,0.70,0.55,0.88,1.25
2.112,0.26,1.20,0.59,1.36
2.122,-0.61,1.97,0.17,2.07
2.132,-1.34,2.33,0.16,2.70
2.142,-1.76,2.29,0.46,2.92
2.152,-2.00,2.11,0.66,2.98
2.162,-1.94,1.89,0.85,2.84
2.172,-1.41,1.85,0.90,2.50
2.182,-0.95,2.19,0.71,2.49
2.192,-0.95,2.45,0.49,2.67
2.202,-0.92,2.62,0.39,2.80
2.212,-0.64,2.87,0.02,2.94
2.222,-0.55,2.76,-0.29,2.83
2.232,-0.58,2.24,-0.49,2.37
2.242,-0.40,1.43,-0.62,1.61
2.252,-0.12,0.63,-0.69,0.94
2.262,0.21,0.01,-0.86,0.89
2.272,0.53,-0.26,-0.97,1.13
2.283,0.77,-0.26,-1.12,1.39
2.293,0.88,-0.11,-1.31,1.59
2.303,0.84,0.05,-1.44,1.67
2.313,0.46,0.19,-1.58,1.66
2.323,-0.12,0.25,-1.67,1.70
2.333,-0.72,0.19,-1.61,1.77
2.343,-1.09,0.09,-1.33,1.72
2.353,-1.28,-0.00,-0.96,1.60
2.363,-1.27,-0.13,-0.65,1.43
2.373,-1.04,-0.35,-0.39,1.16
2.383,-0.68,-0.68,-0.16,0.98
2.393,-0.29,-0.96,0.03,1.01
2.403,0.13,-1.30,0.07,1.30
2.413,0.46,-1.50,-0.03,1.57
2.423,0.68,-1.59,-0.14,1.74
2.433,0.86,-1.74,-0.24,1.96
2.443,1.09,-1.87,-0.21,2.17
2.453,1.24,-1.91,-0.20,2.28
2.464,1.32,-1.83,-0.27,2.27
2.473,1.30,-1.75,-0.46,2.23
2.484,1.20,-1.78,-0.60,2.23
2.494,0.82,-1.91,-0.58,2.16
2.504,0.56,-2.07,-0.46,2.20
2.514,0.34,-1.95,-0.29,2.00
2.524,0.16,-1.81,-0.30,1.84
2.534,0.11,-1.74,-0.43,1.79
2.544,0.20,-1.74,-0.24,1.76
2.554,0.32,-1.73,-0.04,1.76
2.564,0.44,-1.68,0.03,1.73
2.574,0.51,-1.60,0.13,1.69
2.584,0.50,-1.50,0.28,1.61
2.594,0.62,-1.53,0.28,1.67
2.604,0.65,-1.68,0.29,1.82
2.614,0.60,-1.68,0.32,1.82
2.624,0.61,-1.37,0.23,1.51
2.634,0.63,-0.82,0.21,1.05
2.645,0.55,-0.21,0.24,0.64
2.655,0.38,0.16,0.31,0.52
2.665,0.19,0.19,0.46,0.53
2.675,0.08,0.18,0.65,0.68
2.685,0.17,0.27,0.67,0.74
2.695,0.34,0.32,0.58,0.74
2.705,0.40,0.31,0.39,0.64
2.715,0.36,0.25,0.21,0.49
2.725,0.39,0.32,0.17,0.53
2.735,0.47,0.44,0.30,0.71
2.745,0.63,0.51,0.45,0.93
2.755,0.96,0.57,0.50,1.22
2.765,1.05,0.66,0.67,1.41
2.775,1.12,0.83,0.84,1.63
2.785,1.23,1.04,0.80,1.80
2.795,1.28,1.15,0.65,1.84
2.805,1.20,1.13,0.62,1.76
2.816,0.98,1.19,0.70,1.69
2.825,0.91,1.27,0.84,1.77
2.836,1.16,1.42,1.06,2.12
2.846,1.59,1.84,1.21,2.72
2.856,1.76,2.58,0.97,3.27
2.866,1.50,3.25,0.49,3.61
2.876,1.26,3.61,0.25,3.83
2.886,1.45,3.88,0.25,4.15
2.896,1.77,4.25,0.10,4.60
2.906,1.57,4.47,-0.31,4.75
2.916,0.78,4.16,-0.86,4.32
2.926,-0.35,3.53,-1.30,3.78
2.936,-1.40,2.79,-1.57,3.49
2.946,-1.99,1.97,-1.81,3.33
2.956,-2.48,1.11,-2.10,3.43
2.966,-3.06,0.21,-2.34,3.85
2.976,-3.29,-0.57,-2.41,4.12
2.986,-2.95,-0.98,-2.31,3.87
2.997,-2.22,-0.98,-1.85,3.05
3.007,-1.49,-0.65,-1.26,2.05
3.017,-0.78,-0.11,-0.92,1.21
3.027,-0.27,0.49,-0.93,1.09
3.037,-0.09,1.14,-0.48,1.24
3.047,-0.13,1.33,0.01,1.34
3.057,-0.33,1.05,0.04,1.11
3.067,-0.42,0.80,0.11,0.91
3.077,-0.35,0.53,0.24,0.68
3.087,-0.20,0.57,0.31,0.68
3.097,0.35,0.61,0.10,0.71
3.107,0.57,0.30,-0.14,0.66
3.117,0.42,-0.30,-0.24,0.57
3.127,0.16,-0.93,-0.49,1.06
3.137,-0.05,-1.44,-0.77,1.64
3.147,-0.17,-1.95,-0.92,2.16
3.158,-0.15,-2.39,-0.84,2.54
3.168,-0.08,-2.80,-0.56,2.86
3.177,-0.11,-2.83,-0.17,2.84
3.188,-0.21,-2.67,0.12,2.69
3.198,-0.30,-2.52,0.16,2.55
3.208,-0.27,-2.31,0.09,2.33
3.218,-0.08,-2.20,-0.07,2.21
3.228,0.12,-2.23,-0.10,2.24
3.238,0.27,-2.32,-0.06,2.33
3.248,0.29,-2.41,0.01,2.42
3.258,0.21,-2.46,-0.06,2.47
3.268,0.21,-2.51,-0.12,2.52
3.278,0.12,-2.54,-0.12,2.55
3.288,-0.10,-2.45,-0.13,2.46
3.298,-0.25,-2.28,0.02,2.29
3.308,-0.36,-2.18,0.18,2.22
3.318,-0.42,-2.13,0.20,2.18
3.328,-0.50,-2.05,0.18,2.12
3.338,-0.58,-1.84,0.12,1.93
3.348,-0.63,-1.63,0.07,1.74
3.359,-0.63,-1.42,0.13,1.56
3.368,-0.55,-1.15,0.38,1.33
3.379,-0.42,-0.85,0.59,1.12
3.389,-0.25,-0.49,0.73,0.91
3.399,0.06,-0.28,0.74,0.79
3.409,0.38,-0.24,0.75,0.88
3.419,0.59,-0.31,0.82,1.06
3.429,0.67,-0.32,1.00,1.24
3.439,0.64,-0.17,1.28,1.44
3.449,0.70,0.10,1.49,1.64
3.459,0.82,0.37,1.52,1.77
3.469,0.92,0.54,1.40,1.76
3.479,1.00,0.60,1.28,1.73
3.489,1.09,0.58,1.24,1.75
3.499,1.22,0.54,1.24,1.82
3.509,1.29,0.54,1.29,1.90
3.520,1.11,0.54,1.29,1.79
3.529,0.79,0.30,1.61,1.82
3.540,0.46,0.14,1.52,1.60
3.550,0.25,0.81,1.09,1.39
3.560,-0.00,2.38,0.99,2.57
3.570,-0.64,4.10,0.66,4.20
3.580,-1.77,4.81,0.78,5.18
3.590,-2.73,4.52,1.29,5.44
3.600,-3.10,4.02,1.59,5.32
3.610,-2.93,3.59,1.57,4.89
3.620,-1.96,3.38,1.32,4.12
3.630,-0.79,3.79,1.26,4.07
3.640,-0.62,3.94,0.78,4.06
3.650,-0.60,3.48,0.04,3.53
3.660,-0.62,2.67,-0.58,2.81
3.670,-0.69,1.78,-0.93,2.12
3.680,-0.65,0.85,-1.23,1.63
3.690,-0.51,-0.05,-1.38,1.47
3.700,-0.45,-0.96,-1.53,1.86
3.710,-0.35,-1.72,-1.55,2.34
3.721,-0.28,-2.08,-1.65,2.67
3.731,-0.29,-1.91,-1.56,2.48
3.741,-0.38,-1.19,-1.35,1.84
3.751,-0.56,-0.31,-1.14,1.31
3.761,-0.61,0.38,-1.05,1.27
3.771,-0.48,0.77,-1.07,1.40
3.781,-0.29,0.87,-1.16,1.47
3.791,-0.15,0.70,-1.05,1.27
3.801,-0.02,0.32,-0.74,0.80
3.811,0.09,-0.11,-0.43,0.46
3.821,0.12,-0.51,-0.26,0.58
3.831,0.28,-0.88,-0.19,0.94
3.841,0.45,-1.25,-0.17,1.34
3.851,0.58,-1.65,-0.19,1.76
3.861,0.73,-2.09,-0.32,2.24
3.871,0.78,-2.36,-0.46,2.53
3.881,0.85,-2.59,-0.42,2.76
3.891,0.93,-2.84,-0.38,3.02
3.901,1.01,-3.03,-0.39,3.22
3.911,1.03,-2.86,-0.31,3.06
3.922,1.01,-2.56,-0.36,2.77
3.932,1.01,-2.35,-0.40,2.59
3.942,0.84,-2.12,-0.47,2.33
3.952,0.68,-2.01,-0.53,2.19
3.962,0.51,-2.06,-0.47,2.18
3.972,0.38,-1.92,-0.37,1.99
3.982,0.47,-1.77,-0.30,1.85
3.992,0.58,-1.68,-0.28,1.80
4.002,0.60,-1.53,-0.37,1.69
4.012,0.60,-1.36,-0.39,1.54
